Timestamp | Command | CPU% | MEM% | RSS
2024-10-16 15:06:52 | node | 1.3 | 6.2 | 1010.06
2024-10-16 15:06:53 | node | 1.3 | 6.2 | 1009.19
2024-10-16 15:06:54 | node | 1.0 | 6.2 | 1009.19
2024-10-16 15:06:55 | node | 1.3 | 6.2 | 1009.23
2024-10-16 15:06:56 | node | 0.7 | 6.2 | 1009.25
2024-10-16 15:06:57 | k6 | 291.3 | 2.3 | 383.84
2024-10-16 15:06:57 | node | 0.5 | 6.2 | 1009.30
2024-10-16 15:06:58 | k6 | 6.9 | 2.3 | 384.17
2024-10-16 15:06:58 | node | 1.0 | 6.2 | 1009.31
2024-10-16 15:06:59 | k6 | 0.7 | 2.3 | 384.81
2024-10-16 15:06:59 | node | 2.4 | 6.2 | 1009.84
2024-10-16 15:07:00 | k6 | 1.2 | 2.4 | 385.27
2024-10-16 15:07:00 | node | 4.3 | 6.2 | 1009.44
2024-10-16 15:07:01 | k6 | 1.7 | 2.4 | 385.77
2024-10-16 15:07:01 | node | 4.9 | 6.2 | 1009.70
2024-10-16 15:07:02 | k6 | 1.3 | 2.4 | 386.22
2024-10-16 15:07:02 | node | 5.9 | 6.2 | 1009.45
2024-10-16 15:07:03 | k6 | 1.9 | 2.4 | 386.81
2024-10-16 15:07:03 | node | 6.5 | 6.2 | 1009.55
2024-10-16 15:07:05 | k6 | 2.3 | 2.4 | 387.47
2024-10-16 15:07:05 | node | 7.6 | 6.2 | 1010.31
2024-10-16 15:07:06 | k6 | 2.9 | 2.4 | 388.16
2024-10-16 15:07:06 | node | 9.3 | 6.2 | 1011.06
2024-10-16 15:07:07 | k6 | 2.8 | 2.4 | 388.80
2024-10-16 15:07:07 | node | 11.4 | 6.2 | 1011.91
2024-10-16 15:07:08 | k6 | 2.7 | 2.4 | 389.58
2024-10-16 15:07:08 | node | 8.3 | 6.2 | 1013.88
2024-10-16 15:07:09 | k6 | 2.5 | 2.4 | 390.52
2024-10-16 15:07:09 | node | 7.8 | 6.2 | 1013.92
2024-10-16 15:07:10 | k6 | 4.8 | 2.4 | 391.70
2024-10-16 15:07:10 | node | 12.1 | 6.2 | 1013.98
2024-10-16 15:07:11 | k6 | 2.9 | 2.4 | 393.03
2024-10-16 15:07:11 | node | 8.4 | 6.2 | 1014.19
2024-10-16 15:07:12 | k6 | 4.9 | 2.4 | 394.34
2024-10-16 15:07:12 | node | 18.3 | 6.2 | 1014.70
2024-10-16 15:07:13 | k6 | 4.4 | 2.4 | 395.86
2024-10-16 15:07:13 | node | 14.7 | 6.2 | 1017.28
2024-10-16 15:07:14 | k6 | 5.3 | 2.4 | 397.42
2024-10-16 15:07:14 | node | 14.6 | 6.2 | 1018.31
2024-10-16 15:07:15 | k6 | 4.3 | 2.4 | 399.08
2024-10-16 15:07:15 | node | 11.2 | 6.2 | 1018.31
2024-10-16 15:07:16 | k6 | 4.7 | 2.4 | 400.77
2024-10-16 15:07:16 | node | 12.8 | 6.2 | 1018.66
2024-10-16 15:07:17 | k6 | 4.6 | 2.5 | 402.47
2024-10-16 15:07:17 | node | 13.4 | 6.2 | 1019.00
2024-10-16 15:07:18 | k6 | 6.2 | 2.5 | 404.36
2024-10-16 15:07:18 | node | 15.5 | 6.2 | 1019.16
2024-10-16 15:07:19 | k6 | 6.8 | 2.5 | 406.36
2024-10-16 15:07:19 | node | 17.1 | 6.2 | 1020.05
2024-10-16 15:07:20 | k6 | 6.3 | 2.5 | 408.48
2024-10-16 15:07:20 | node | 19.1 | 6.2 | 1023.20
2024-10-16 15:07:21 | k6 | 5.9 | 2.5 | 410.69
2024-10-16 15:07:21 | node | 17.4 | 6.3 | 1026.53
2024-10-16 15:07:22 | k6 | 4.9 | 2.5 | 412.95
2024-10-16 15:07:22 | node | 18.3 | 6.3 | 1027.67
